check_time,water_temp,in_air_temp,bp0_sb0_out_air_temp,bp0_sb0_cpu_0_temp,bp0_sb0_cpu_1_temp,bp0_sb0_cpu_2_temp,bp0_sb0_cpu_3_temp,bp0_sb1_out_air_temp,bp0_sb1_cpu_0_temp,bp0_sb1_cpu_1_temp,bp0_sb1_cpu_2_temp,bp0_sb1_cpu_3_temp,bp0_sb2_out_air_temp,bp0_sb2_cpu_0_temp,bp0_sb2_cpu_1_temp,bp0_sb2_cpu_2_temp,bp0_sb2_cpu_3_temp,bp0_sb3_out_air_temp,bp0_sb3_cpu_0_temp,bp0_sb3_cpu_1_temp,bp0_sb3_cpu_2_temp,bp0_sb3_cpu_3_temp,bp0_sb4_out_air_temp,bp0_sb4_cpu_0_temp,bp0_sb4_cpu_1_temp,bp0_sb4_cpu_2_temp,bp0_sb4_cpu_3_temp,bp0_sb5_out_air_temp,bp0_sb5_cpu_0_temp,bp0_sb5_cpu_1_temp,bp0_sb5_cpu_2_temp,bp0_sb5_cpu_3_temp,bp0_sb6_out_air_temp,bp0_sb6_cpu_0_temp,bp0_sb6_cpu_1_temp,bp0_sb6_cpu_2_temp,bp0_sb6_cpu_3_temp,bp0_sb7_out_air_temp,bp0_sb7_cpu_0_temp,bp0_sb7_cpu_1_temp,bp0_sb7_cpu_2_temp,bp0_sb7_cpu_3_temp,bp0_sb8_out_air_temp,bp0_sb8_cpu_0_temp,bp0_sb8_cpu_1_temp,bp0_sb8_cpu_2_temp,bp0_sb8_cpu_3_temp,bp0_sb9_out_air_temp,bp0_sb9_cpu_0_temp,bp0_sb9_cpu_1_temp,bp0_sb9_cpu_2_temp,bp0_sb9_cpu_3_temp,bp0_sb10_out_air_temp,bp0_sb10_cpu_0_temp,bp0_sb10_cpu_1_temp,bp0_sb10_cpu_2_temp,bp0_sb10_cpu_3_temp,bp0_sb11_out_air_temp,bp0_sb11_cpu_0_temp,bp0_sb11_cpu_1_temp,bp0_sb11_cpu_2_temp,bp0_sb11_cpu_3_temp,bp1_sb0_out_air_temp,bp1_sb0_cpu_0_temp,bp1_sb0_cpu_1_temp,bp1_sb0_cpu_2_temp,bp1_sb0_cpu_3_temp,bp1_sb1_out_air_temp,bp1_sb1_cpu_0_temp,bp1_sb1_cpu_1_temp,bp1_sb1_cpu_2_temp,bp1_sb1_cpu_3_temp,bp1_sb2_out_air_temp,bp1_sb2_cpu_0_temp,bp1_sb2_cpu_1_temp,bp1_sb2_cpu_2_temp,bp1_sb2_cpu_3_temp,bp1_sb3_out_air_temp,bp1_sb3_cpu_0_temp,bp1_sb3_cpu_1_temp,bp1_sb3_cpu_2_temp,bp1_sb3_cpu_3_temp,bp1_sb4_out_air_temp,bp1_sb4_cpu_0_temp,bp1_sb4_cpu_1_temp,bp1_sb4_cpu_2_temp,bp1_sb4_cpu_3_temp,bp1_sb5_out_air_temp,bp1_sb5_cpu_0_temp,bp1_sb5_cpu_1_temp,bp1_sb5_cpu_2_temp,bp1_sb5_cpu_3_temp,bp1_sb6_out_air_temp,bp1_sb6_cpu_0_temp,bp1_sb6_cpu_1_temp,bp1_sb6_cpu_2_temp,bp1_sb6_cpu_3_temp,bp1_sb7_out_air_temp,bp1_sb7_cpu_0_temp,bp1_sb7_cpu_1_temp,bp1_sb7_cpu_2_temp,bp1_sb7_cpu_3_temp,bp1_sb8_out_air_temp,bp1_sb8_cpu_0_temp,bp1_sb8_cpu_1_temp,bp1_sb8_cpu_2_temp,bp1_sb8_cpu_3_temp,bp1_sb9_out_air_temp,bp1_sb9_cpu_0_temp,bp1_sb9_cpu_1_temp,bp1_sb9_cpu_2_temp,bp1_sb9_cpu_3_temp,bp1_sb10_out_air_temp,bp1_sb10_cpu_0_temp,bp1_sb10_cpu_1_temp,bp1_sb10_cpu_2_temp,bp1_sb10_cpu_3_temp,bp1_sb11_out_air_temp,bp1_sb11_cpu_0_temp,bp1_sb11_cpu_1_temp,bp1_sb11_cpu_2_temp,bp1_sb11_cpu_3_temp
2019-05-28 14:00:01,15.53,20.06,25.31,17.85,18.17,18.48,17.53,25.06,17.53,18.17,18.17,17.21,25.12,18.17,17.85,19.12,16.58,24.75,16.89,17.85,17.85,16.89,24.94,16.89,16.89,17.21,15.94,24.81,17.21,17.53,17.53,16.89,24.88,16.89,16.89,17.53,16.26,24.44,17.21,18.17,17.85,16.58,24.75,15.94,17.21,17.21,16.89,24.38,17.85,18.17,17.85,17.21,25.19,15.94,16.89,16.89,15.62,26.62,15.94,17.21,16.89,16.26,25.0,16.89,17.21,17.85,17.21,25.0,15.94,16.58,16.58,15.62,24.62,16.26,17.53,17.53,17.21,24.94,16.58,17.85,17.53,16.89,24.94,16.58,16.89,17.85,15.94,26.12,16.89,17.21,17.21,16.58,25.38,16.89,17.53,17.21,16.26,25.0,15.62,16.58,16.26,15.3,25.38,17.53,17.85,18.17,16.89,25.75,15.94,16.89,16.26,15.62,25.75,16.26,16.89,17.85,15.94,25.69,16.58,17.21,17.85,16.89
2019-05-28 14:05:01,15.53,20.0,26.25,17.85,18.17,18.48,17.53,25.75,17.85,18.17,18.17,17.53,25.81,18.17,18.17,19.44,16.58,24.62,17.21,18.17,17.85,16.89,24.69,16.89,16.89,17.53,16.26,24.56,17.21,17.85,17.85,16.89,24.5,17.21,17.21,17.85,16.58,24.12,17.53,18.17,18.17,16.58,24.38,16.26,17.53,17.53,17.21,24.06,18.17,18.48,18.17,17.53,24.75,16.26,16.89,17.21,15.94,25.38,15.94,17.53,17.21,16.58,24.12,17.21,17.53,18.17,17.53,24.06,15.94,16.89,16.89,15.62,23.75,16.58,17.85,17.85,17.21,24.12,16.58,17.85,17.85,17.21,24.12,16.89,16.89,18.17,15.94,25.19,16.89,17.53,17.53,16.89,24.62,16.89,17.85,17.53,16.58,24.19,15.94,16.58,16.26,15.62,24.69,17.53,18.17,18.48,17.21,25.06,15.94,16.89,16.58,15.94,25.06,16.58,16.89,17.85,16.26,25.0,16.89,17.21,18.17,16.89
2019-05-28 14:10:01,15.53,20.0,26.38,17.85,18.17,18.8,17.53,26.06,17.85,18.48,18.17,17.53,26.12,18.17,18.17,19.44,16.58,25.12,18.8,20.07,17.85,16.89,25.19,17.53,17.85,18.48,16.89,24.94,17.53,18.17,17.53,16.89,25.12,18.8,18.8,19.44,18.17,24.69,19.12,20.39,20.07,18.48,25.06,16.58,18.17,18.17,17.53,24.81,18.48,18.8,18.48,17.85,25.94,18.17,19.12,19.44,17.85,26.62,16.89,18.48,18.17,17.21,25.12,17.53,18.17,18.8,17.85,25.12,17.53,18.48,18.48,17.21,24.88,18.17,19.76,19.76,18.8,25.25,17.21,18.8,18.48,17.85,25.31,17.21,17.53,18.8,16.58,26.5,18.8,19.44,19.12,18.48,25.88,17.53,18.8,18.48,17.21,25.56,16.26,17.21,16.89,15.94,26.06,19.12,19.76,20.07,18.8,24.94,17.53,18.8,18.17,17.53,25.0,18.17,18.8,20.07,17.85,24.94,17.21,17.85,18.8,17.21
2019-05-28 14:15:01,15.42,19.94,26.38,17.85,18.17,18.8,17.53,26.19,17.85,18.17,18.17,17.21,26.19,18.17,18.17,19.12,16.58,26.31,18.8,20.07,17.85,16.89,26.81,17.53,17.85,18.48,16.89,26.06,17.85,18.48,17.53,16.89,26.69,19.12,19.12,19.44,18.17,26.19,18.48,20.07,19.76,17.85,26.56,16.58,18.17,18.17,17.53,26.25,19.44,19.76,19.44,18.48,27.75,18.17,19.12,19.44,17.85,27.94,17.53,19.12,19.12,18.17,26.06,18.17,18.8,19.44,18.48,26.12,16.58,17.53,17.53,15.94,25.81,18.17,19.44,19.44,18.8,26.12,18.17,20.07,19.76,19.12,26.19,17.21,17.85,18.8,16.58,27.31,17.53,18.17,18.17,17.21,26.69,18.48,19.76,19.44,18.17,26.31,16.89,17.85,17.53,16.58,26.75,17.85,18.8,19.12,17.53,27.19,16.26,17.53,16.89,16.26,27.25,17.85,18.8,19.76,17.85,27.12,18.48,19.12,20.07,18.48
2019-05-28 14:20:02,15.53,19.94,25.31,16.89,17.21,17.53,16.58,25.94,16.89,17.21,16.89,16.26,25.94,17.21,16.89,17.85,15.62,26.44,17.53,18.8,17.85,16.89,26.94,18.48,18.8,19.44,17.85,26.19,19.12,19.76,17.85,16.89,26.88,17.85,18.17,18.8,17.21,26.44,18.17,19.12,18.8,17.21,26.75,18.17,19.44,19.44,19.12,26.44,19.12,19.76,19.12,18.48,27.94,16.89,18.17,18.17,16.58,28.56,17.53,19.12,18.8,17.85,26.5,18.8,19.44,20.07,19.44,26.56,16.58,17.85,17.53,16.26,26.25,17.21,18.48,18.48,17.85,26.56,18.17,20.07,19.76,19.12,26.56,18.17,18.8,19.76,17.53,27.81,17.53,18.48,18.17,17.53,27.06,17.21,18.17,17.85,16.58,26.62,17.21,18.48,18.17,17.21,27.19,19.12,20.07,20.39,19.12,27.56,16.58,17.85,17.53,16.58,27.56,17.21,17.85,18.8,16.58,27.44,18.48,19.44,20.07,18.8
2019-05-28 14:25:01,15.42,19.88,24.94,16.89,16.89,17.21,16.58,24.69,16.58,16.89,16.58,16.26,24.69,16.89,16.89,17.85,15.62,26.38,17.85,18.8,17.53,16.89,27.0,17.53,17.53,18.17,16.58,26.19,18.8,19.44,17.53,16.89,26.94,18.8,18.8,19.44,17.85,26.44,17.85,19.12,18.8,17.21,26.81,17.21,18.48,18.48,18.17,26.5,19.76,20.39,20.07,19.12,28.06,16.89,18.17,18.17,16.58,28.62,16.26,17.85,17.85,16.89,26.5,18.48,19.12,19.76,19.12,26.69,17.85,19.12,18.8,17.53,26.38,17.21,18.48,18.48,17.53,26.56,16.89,18.48,18.17,17.53,26.62,17.21,17.53,18.48,16.58,27.88,18.8,19.44,19.12,18.48,27.12,17.85,19.12,18.48,17.21,26.69,16.26,17.53,16.89,16.26,27.12,19.12,19.76,20.07,18.8,27.56,17.85,18.8,18.17,17.53,27.62,18.17,19.12,20.07,17.53,27.44,17.21,17.85,18.8,17.21
2019-05-28 14:30:01,15.53,19.88,24.75,16.89,16.89,17.21,16.58,24.44,16.58,16.89,16.58,16.26,24.5,17.21,16.89,17.85,15.62,26.38,18.8,19.76,17.85,16.89,27.0,18.48,18.8,19.44,17.85,26.12,17.85,18.48,17.53,16.89,26.88,17.53,17.85,18.17,16.89,26.44,19.12,20.39,20.07,18.48,26.81,16.89,18.8,18.48,17.85,26.5,18.48,19.12,18.8,17.85,28.0,17.85,18.8,19.12,17.53,28.62,17.21,18.8,18.48,17.53,26.56,18.8,19.44,20.07,19.44,26.69,16.58,17.85,17.53,16.26,26.31,17.21,18.17,18.48,17.53,26.56,18.17,19.76,19.44,18.8,26.62,18.48,19.12,20.07,17.85,27.88,17.53,18.17,18.17,17.21,27.06,17.53,18.48,18.17,17.21,26.69,17.53,18.8,18.48,17.21,27.12,18.17,19.12,19.44,17.85,27.44,16.58,17.85,17.21,16.58,27.56,17.85,18.48,19.76,17.85,27.44,18.48,19.44,20.39,18.8
2019-05-28 14:35:02,15.53,19.88,24.75,16.89,17.21,17.53,16.58,24.5,16.58,17.21,16.58,16.26,24.5,17.21,16.89,17.85,15.62,26.31,18.8,20.07,17.85,16.89,27.0,18.17,18.17,18.8,17.21,26.12,17.85,18.48,17.85,16.89,26.88,18.48,18.48,19.12,17.85,26.44,19.12,20.25,20.39,18.48,26.75,16.89,18.48,18.48,17.85,26.5,18.48,19.12,18.8,17.85,28.0,18.17,19.12,19.44,17.85,28.56,17.53,19.44,18.8,17.85,26.56,17.53,18.17,18.8,18.17,26.62,16.89,18.17,17.85,16.58,26.31,18.48,19.76,19.76,18.8,26.56,17.53,19.12,18.8,17.85,26.62,17.53,17.85,18.8,16.58,27.81,18.8,19.44,19.12,18.48,27.06,18.48,19.76,19.44,18.17,26.69,16.58,17.53,17.21,16.26,27.12,17.85,18.8,19.12,17.85,27.56,17.85,19.12,18.48,17.85,27.62,17.53,18.17,19.12,16.89,27.44,17.21,18.17,18.8,17.53
2019-05-28 14:40:01,15.53,19.94,24.75,16.89,16.89,17.21,16.58,24.38,16.58,16.89,16.58,16.26,24.44,16.89,16.89,17.85,15.62,26.31,17.53,18.8,17.85,16.89,26.94,18.17,18.48,18.8,17.21,26.12,18.8,19.76,17.53,16.89,26.94,17.85,18.17,18.48,17.21,26.44,17.85,19.12,18.8,17.21,26.81,17.85,19.12,19.12,18.8,26.5,19.76,20.39,19.76,18.8,28.0,16.89,17.85,18.17,16.58,28.56,16.26,17.85,17.85,16.89,26.5,18.48,19.12,19.76,18.8,26.62,16.89,18.17,17.85,16.58,26.31,17.21,18.48,18.48,17.53,26.56,17.21,18.8,18.8,18.17,26.62,18.48,19.12,20.07,18.17,27.81,17.85,18.48,18.17,17.53,27.06,17.53,18.48,18.17,16.89,26.62,17.53,18.48,18.17,17.21,27.12,18.8,19.76,20.07,18.48,27.5,17.85,19.12,18.48,17.85,27.56,17.21,18.17,18.8,16.89,27.44,17.21,17.85,18.8,17.21
2019-05-28 14:45:01,15.42,19.88,24.75,16.89,16.89,17.21,16.58,24.44,16.58,16.89,16.58,16.26,24.44,17.21,16.89,17.85,15.62,26.12,17.53,19.12,17.85,16.89,26.75,17.53,17.53,18.17,16.58,26.0,18.8,19.44,17.53,16.89,26.69,18.48,18.48,19.12,17.53,26.25,17.85,19.12,18.8,17.21,26.56,17.53,18.8,18.8,18.48,26.31,19.76,20.39,20.07,19.12,27.75,16.89,18.17,18.17,16.58,28.56,16.26,17.85,17.53,16.89,26.5,17.53,17.85,18.8,18.17,26.56,16.89,17.85,17.85,16.58,26.25,17.53,18.8,19.12,18.17,26.5,16.89,18.48,18.48,17.53,26.5,17.21,17.53,18.48,16.58,27.69,18.48,19.12,18.8,18.17,26.88,18.48,19.44,19.12,17.85,26.5,16.26,17.21,16.89,15.94,26.94,17.85,18.48,18.8,17.53,27.31,17.53,18.8,18.17,17.53,27.38,17.53,18.48,19.44,17.21,27.19,17.21,17.85,18.8,17.53
